Date,MSFT,AAPL
2014-12-01,48.62,115.07
2014-12-02,48.46,114.63
2014-12-03,48.08,115.93
2014-12-04,48.84,115.49
2014-12-05,48.42,115.0
2014-12-08,47.7,112.4
2014-12-09,47.59,114.12
2014-12-10,46.9,111.95
2014-12-11,47.17,111.62
2014-12-12,46.95,109.73
2014-12-15,46.67,108.23
2014-12-16,45.16,106.75
2014-12-17,45.74,109.41
2014-12-18,47.52,112.65
2014-12-19,47.66,111.78
2014-12-22,47.98,112.94
2014-12-23,48.45,112.54
2014-12-24,48.14,112.01
2014-12-26,47.88,113.99
2014-12-29,47.45,113.91
2014-12-30,47.02,112.52
2014-12-31,46.45,110.38
